Subject,Start Date,Start Time,End Date,End Time,Description
*ВІА Зал DL *ВІА(ПЗПІ-23-)-1; №1,06/10/2025,01:10 PM,06/10/2025,02:45 PM,*ВІА Зал DL *ВІА(ПЗПІ-23-)-1
*ВІА Лб DL *ВІА(ПЗПІ-23-)-1; №1,03/31/2025,07:45 AM,03/31/2025,09:20 AM,*ВІА Лб DL *ВІА(ПЗПІ-23-)-1
*ВІА Лб DL *ВІА(ПЗПІ-23-)-1; №1,03/31/2025,09:30 AM,03/31/2025,11:05 AM,*ВІА Лб DL *ВІА(ПЗПІ-23-)-1
*ВІА Лб DL *ВІА(ПЗПІ-23-)-1; №2,05/09/2025,07:45 AM,05/09/2025,09:20 AM,*ВІА Лб DL *ВІА(ПЗПІ-23-)-1
*ВІА Лб DL *ВІА(ПЗПІ-23-)-1; №2,05/09/2025,09:30 AM,05/09/2025,11:05 AM,*ВІА Лб DL *ВІА(ПЗПІ-23-)-1
*ВІА Лб DL *ВІА(ПЗПІ-23-)-1; №3,05/12/2025,07:45 AM,05/12/2025,09:20 AM,*ВІА Лб DL *ВІА(ПЗПІ-23-)-1
*ВІА Лб DL *ВІА(ПЗПІ-23-)-1; №3,05/12/2025,09:30 AM,05/12/2025,11:05 AM,*ВІА Лб DL *ВІА(ПЗПІ-23-)-1
*ВІА Лб DL *ВІА(ПЗПІ-23-)-1; №4,05/23/2025,07:45 AM,05/23/2025,09:20 AM,*ВІА Лб DL *ВІА(ПЗПІ-23-)-1
*ВІА Лб DL *ВІА(ПЗПІ-23-)-1; №4,05/23/2025,09:30 AM,05/23/2025,11:05 AM,*ВІА Лб DL *ВІА(ПЗПІ-23-)-1
*ВІА Лб DL *ВІА(ПЗПІ-23-)-1; №5,06/06/2025,07:45 AM,06/06/2025,09:20 AM,*ВІА Лб DL *ВІА(ПЗПІ-23-)-1
*ВІА Лб DL *ВІА(ПЗПІ-23-)-1; №5,06/06/2025,09:30 AM,06/06/2025,11:05 AM,*ВІА Лб DL *ВІА(ПЗПІ-23-)-1
*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №1,02/14/2025,07:45 AM,02/14/2025,09:20 AM,*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5
*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №2,02/21/2025,07:45 AM,02/21/2025,09:20 AM,*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5
*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №3,02/28/2025,07:45 AM,02/28/2025,09:20 AM,*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5
*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №4,03/07/2025,07:45 AM,03/07/2025,09:20 AM,*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5
*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №5,03/14/2025,07:45 AM,03/14/2025,09:20 AM,*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5
*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №6,03/21/2025,07:45 AM,03/21/2025,09:20 AM,*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5
*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №7,03/28/2025,07:45 AM,03/28/2025,09:20 AM,*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5
*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №8,04/11/2025,07:45 AM,04/11/2025,09:20 AM,*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5
